Model ; X100+Option
Layout Type ; 0
Data Offset ; 23
Date ; 2019-08-06
Time ; 11:29:43

Time Base ; 5 ms/div
Sensitivity ; 100 uV/div
Pan ; 0 ms
Curve no ; 1-10
Common BaseLine ; Off
Lower Frequency Limit ; 1 Hz
Upper Frequency Limit ; 1 kHz
Trigger Mode ; Stimulus

Curve no ; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10
27750 ; -25 ; 5 ; -10 ; -130 ; -220 ; -200 ; -55 ; -65 ; -150 ; 30
27875 ; -25 ; 5 ; -10 ; -120 ; -225 ; -200 ; -65 ; -70 ; -145 ; 25
28000 ; -15 ; 5 ; -10 ; -110 ; -225 ; -190 ; -70 ; -75 ; -135 ; 20
28125 ; -10 ; 5 ; -10 ; -95 ; -225 ; -185 ; -75 ; -75 ; -125 ; 20
28250 ; 0 ; 15 ; -5 ; -80 ; -220 ; -180 ; -80 ; -75 ; -115 ; 15
28375 ; 5 ; 20 ; -5 ; -65 ; -205 ; -180 ; -75 ; -65 ; -100 ; 15
28500 ; 20 ; 25 ; -5 ; -50 ; -195 ; -175 ; -75 ; -65 ; -90 ; 15
28625 ; 25 ; 30 ; -5 ; -35 ; -180 ; -175 ; -75 ; -60 ; -80 ; 15
28750 ; 35 ; 35 ; -10 ; -20 ; -160 ; -175 ; -70 ; -50 ; -70 ; 15
28875 ; 45 ; 40 ; -10 ; -5 ; -145 ; -175 ; -70 ; -50 ; -60 ; 15
